Maika,Isogawa,Co-Founder and CEO,Founder and CEO at Webacy | Forbes 30 Under 30 | Angel Investor | Former Cirque Du Soleil acrobat,Webacy,https://www.linkedin.com/in/maikaisogawa,2025-03-03T22:22:38.054619
Gianfranco,Filice,Partner,"Venture Investor at the ""Scary-Early"" Stage | Stanford",OVO Fund,https://www.linkedin.com/in/gfilice,2025-03-03T22:22:38.060911
Radhika,Ghai,Founder & CEO,Founder & CEO at kindlife.in I Co-Founder at ShopClues I Angel Investor,Kindlife.in,https://www.linkedin.com/in/radhikaghai,2025-03-03T22:22:38.067995
Shradha,Budhiraja,Software Engineering Manager,"Engineering Manager at Meta, Angel Investor.",Meta,https://www.linkedin.com/in/shradhab,2025-03-03T22:22:38.071668
Larry,Augustin,Managing Director,"Entrepreneur, angel investor, and advisor to technology companies.",Augustin Ventures,https://www.linkedin.com/in/larryaugustin,2025-03-03T22:22:38.075220
Augustin,Ku,Investor,Angel Investor,Investor,https://www.linkedin.com/in/augustinku,2025-03-03T22:22:38.079722
Max,Kilberg,Top skills,Investor @ Village Global,,https://www.linkedin.com/in/max-kilberg,2025-03-03T22:22:38.083819
Francisco,Serra-Martins,Founder and CEO,Co-founder at Terminal Autonomy | Chair at Dove Air 🕊️ Forbes 30 Under 30 | Angel investor,"Terminal Autonomy, formerly One Way Aerospace",https://www.linkedin.com/in/franciscoserramartins,2025-03-03T22:22:38.087814
Subha,Rajana,Venture Partner,"Impact Investor, Mentor and Advisor",,https://www.linkedin.com/in/subharajana,2025-03-03T22:22:38.091737
Magnus,Christerson,Alliance of Angels,Angel Investor,Mar 2023 - Present,https://www.linkedin.com/in/magnus-christerson,2025-03-03T22:22:38.095611
Nida,Ansari,Top skills,Founder | fCXO | Board Director | Impact Investor,karmic partners,https://www.linkedin.com/in/nidaansari,2025-03-03T22:22:38.099860
Joe,Golden,CEO/Founder,Entrepreneur and Angel Investor,,https://www.linkedin.com/in/joe-golden-8263865,2025-03-03T22:22:38.103342
Felix,H.,Angel Investor and Advisor,Angel Investor and Advisor,Oct 2018 - Aug 2020,https://www.linkedin.com/in/felixhuber,2025-03-03T22:22:38.107043
Rodrigo,Dantas,Board and Entrepreneur Advisor,Board Member e Investidor,Fundo Criatec 4,https://www.linkedin.com/in/rodrigodantas,2025-03-03T22:22:38.111278
Jonathan,L.,Managing Director/Founder,Serial Entrepreneur & Angel Investor,Qashio,https://www.linkedin.com/in/jhylau,2025-03-03T22:22:38.114997
Chino,Lex,Founder,2x Founder now in Texas Energy | Alum: Y Combinator & OnDeck,,https://www.linkedin.com/in/chinolex,2025-03-03T22:22:38.118208
Santhi,"Analytis, Ph.D.",Designer Fund,CTO￨Founder￨Hardware Startup Advisor￨Angel Investor,Dec 2023 - Present,https://www.linkedin.com/in/santhi-analytis,2025-03-03T22:22:38.122244
Jacalyn,Thompson-Champion,Board Member,Angel Investor,,https://www.linkedin.com/in/jacalyn-thompson-champion-a0024212,2025-03-03T22:22:38.131928
Vivek,Dixit,Top skills,"CEO | VC Operator | Board Member | Advisor | Investor | Fintech & Payments Executive | Gartner, Oracle & Cognizant Alum | 2x Author",CXO Advisory Services,https://www.linkedin.com/in/vivekdixit,2025-03-03T22:22:38.140136
Thurman,White,Senior Advisor to CEO,Board Member | Advisor | Angel Investor | Former CEO and Board Chairman,ESO Ventures,https://www.linkedin.com/in/thurman-white-b395aa1b,2025-03-03T22:22:38.144056
Alfonso,Rodrigo,Managing Partner,Angel Investor & Charitable Giver,,https://www.linkedin.com/in/alfonso-rodrigo-235ba0117,2025-03-03T22:22:38.148893
Zamir,"Shukho, MBA",Top skills,Venture Investor • Serial Entrepreneur • Expert in Corporate Innovations & Startups,Vibranium Venture Capital,https://www.linkedin.com/in/zamirshukho,2025-03-03T22:22:38.153101
Jesse,Kramer,Co-Founder,Angel Investor,,https://www.linkedin.com/in/jesse-kramer-6214052,2025-03-03T22:22:38.157180
Sam,Murrel,Product owner,Angel Investor,,https://www.linkedin.com/in/sam-murrel-46464911a,2025-03-03T22:22:38.160637
Keanu,C.,Managing Partner,Angel Investor | Venture Capitalist | Ed-Tech | HR-Tech | Fin-Tech,LGB Partners,https://www.linkedin.com/in/keanu-c-5a22a6199,2025-03-03T22:22:38.165201
Edik,Lipowski,Angel Investor,Angel Investor,,https://www.linkedin.com/in/edik-lipowski-366823124,2025-03-03T22:22:38.168681
Tricia,Herrick,Volunteer Consultant,"Volunteer, Board Member, Part Time Graduate Admissions",Stanford University,https://www.linkedin.com/in/tricia-herrick-26a72315,2025-03-03T22:22:38.172290
Eddy,Lee,Top skills,Corporate Venturing & Startup Investments,,https://www.linkedin.com/in/eddysmlee,2025-03-03T22:22:38.175630
Mason,Fielder LION,Angel Investor,Angel Investor,,https://www.linkedin.com/in/mason-fielder-lion-b46860103,2025-03-03T22:22:38.179508
Eric,Setton,Angel Investor,Angel Investor,Mar 2018 - Present,https://www.linkedin.com/in/ericsettton,2025-03-03T22:22:38.188817
Nicole,Liu,Founding Partner,Founding Partner @ Comma3 Ventures,Comma3 Ventures,https://www.linkedin.com/in/nicole-liu-a3b380135,2025-03-03T22:22:38.192039
Mark,C. Layton,Managing Member,"Entrepreneur, BoD Advisor, Angel Investor",,https://www.linkedin.com/in/platinumedge,2025-03-03T22:22:38.204105
Huey,Lin,Senior Advisor,Advisor | Angel Investor | Board Member,,https://www.linkedin.com/in/hueyrulin,2025-03-03T22:22:38.227464
Eric,Eldon,Angel Investor,angel investor,angel investor,https://www.linkedin.com/in/ericeldon,2025-03-03T22:22:38.235845
Ashraf,Kalim Ahmed,Founding Partner,Entrepreneur / Angel Investor / Brand Builder,Magnus Ventures,https://www.linkedin.com/in/ashrafkalimahmed,2025-03-03T22:22:38.243937
Jack,Herrick,Founder,Founder of wikiHow. Angel investor in 100+ companies and 10+ unicorns.,,https://www.linkedin.com/in/jackherrick,2025-03-03T22:22:38.252563
Farshad,Taheri,Early Stage Investor,Early stage Investor - Startup Helper - CEO at Arbor Home,,https://www.linkedin.com/in/farshad-taheri-79583573,2025-03-03T22:22:38.259710
Yvan,Goudard,Top skills,Growth & Communication Strategist for Startups | Board Advisory | Stakeholders Relations,Full-time,https://www.linkedin.com/in/yvancgoudard,2025-03-03T22:22:38.268386
Li,Wang,Founding Chief Data Officer,Startup | Advisor | Angel Investor,Turboprop,https://www.linkedin.com/in/liii-wang,2025-03-03T22:22:38.277152
Henry,Maximilian Walton,Angel Investor,Angel Investor,Mar 2014 - Jun 2017,https://www.linkedin.com/in/henry-maximilian-walton-14487a13b,2025-03-03T22:22:38.286325
Joel,Englander,"Senior Program Manager - Google for Startups, Google Gloud",Startup Advisor / Angel Investor,,https://www.linkedin.com/in/joelenglander,2025-03-03T22:22:38.294257
Neguine,Navab Christensen,Angel Investor,"Start-up Management, Software Development, Angel Investment",,https://www.linkedin.com/in/neguinechristensen,2025-03-03T22:22:38.300935
Robby,Guerrier,Amazon Web Services (AWS),GTM x Technology Partnership & Business Development @ Amazon Web Services (AWS) - Angel Investor,Alchemist Accelerator,https://www.linkedin.com/in/robbyguerrier,2025-03-03T22:22:38.306805
Andy,Garman,Managing Partner,Non-profit board member and angel investor,,https://www.linkedin.com/in/andygarman,2025-03-03T22:22:38.315781
Anthony,Rossi,AFL,CEO at Force One Capital • President of the AFL • Co-Founder at Cubed Biotech • Capital Markets Advisor • VC & Angel Investor,Feb 2023 - Present,https://www.linkedin.com/in/rossianthony,2025-03-03T22:22:38.323231
Damien,Fatrez,Investor,Entrepreneur & investor,,https://www.linkedin.com/in/damien-fatrez-bb7856,2025-03-03T22:22:38.339914
Rob,Robinson,President,"Professor, Private Equity and Angel Investor",,https://www.linkedin.com/in/hawaiivc,2025-03-03T22:22:38.348084
Sherman,Ting,Managing Member,"Angel Investor, Advisor, Board Member, CEO, Entrepreneur",,https://www.linkedin.com/in/shermanting,2025-03-03T22:22:38.357598
Michael,Westen,Angel Investor,"Angel Investor at Westen Investments, LLC",,https://www.linkedin.com/in/michaelwesten007,2025-03-03T22:22:38.366285
Alan,Fisher,Angel Investor,Angel Investor at Sand Hill Angels,,https://www.linkedin.com/in/fisheralan,2025-03-03T22:22:38.373387
Al,Sharif Nawaf Faiez Al Abdelhakim,Top skills,"CEO | Angel Investor in Energy, Smart Cities and Digitalization",,https://www.linkedin.com/in/al-sharif-nawaf-faiez-al-abdelhakim-43323583,2025-03-03T22:22:38.381636
Michael,Rodnick,Partner,"Angel Investor, Partner",,https://www.linkedin.com/in/rodnick,2025-03-03T22:22:38.388472
Biola,Alabi,General Partner,Venture Capital | Non-Executive Director |Angel Investor| Business Strategy Advisor|,acasia,https://www.linkedin.com/in/biola-alabi,2025-03-03T22:22:38.396908
Leon,Szeli,Investment Committee,Product @ Meta | Presize (acq. by Meta) Founding CEO | IC @ CDTM Venture Fund,Meta,https://www.linkedin.com/in/leonszeli,2025-03-03T22:22:38.406251
Jon,Saft,Angel Investor,Angel Investor,,https://www.linkedin.com/in/jon-saft-282b1916b,2025-03-03T22:22:38.410953
Melissa,C.,Growth Advisor,Head of Growth @ EvenUp | Growth Advisor | Angel Investor,EvenUp,https://www.linkedin.com/in/melissachuang,2025-03-03T22:22:38.414512
Cristina,Cordova,Chief Operating Officer,Chief Operating Officer at Linear,Linear,https://www.linkedin.com/in/cristinajcordova,2025-03-03T22:22:38.418953
Paolo,N.,"Angel, Pre-Seed & Seed Investor",Entrepreneur & Angel Investor | Ex-BCG | Stanford B.S.,wohnvoll AG,https://www.linkedin.com/in/nattenmueller,2025-03-03T22:22:38.423292
Ashok,Ranadive,Top skills,"CEO & Co-Founder @ CarbonMinus Entrepreneur & Investor | Indian Navy, Google, CasperLabs (Web 3) | Global Experience across sectors",CarbonMinus,https://www.linkedin.com/in/ashoksranadive,2025-03-03T22:22:38.426612
Nikolay,Laptev,AI Research Scientist,Angel investor,Meta,https://www.linkedin.com/in/nikolay-laptev-6616123,2025-03-03T22:22:38.431046
Leonel,Meneses,Event Planner,"Enthusiastic about people, technology and the universe. Looking for an Angel investor asap.",White Lion Door,https://www.linkedin.com/in/leonel-meneses-4700152b,2025-03-03T22:22:38.434215
Anthony,Roma,Angel Investor,Angel Investor at Launchpad Venture Group,Jul 2019 - Present,https://www.linkedin.com/in/anthonyrroma,2025-03-03T22:22:38.437805
Ali,Jamal,Founding Partner,"Founding Partner @ First Check Ventures / Growth and Product Executive / Angel Investor, Startup Advisor, International Expansion Expert",First Check Ventures,https://www.linkedin.com/in/mralijamal,2025-03-03T22:22:38.441281
Stanislaus,MARTINS,Top skills,"Tech & Marketing Leader. MD, Aleph West Africa, reps. Meta, Tiktok, X, Snapchat. | President ADMARP | CMO | Fellow, CIM UK | Cloud Architect & Security Certified Filmmaker",Jan 2024 - Present,https://www.linkedin.com/in/olusegunmartins,2025-03-03T22:22:38.444913
Sergio,Monsalve,Founding Partner,"Seed stage venture capital investor in future of work, marketplaces, SaaS, and AI",Roble Ventures,https://www.linkedin.com/in/sergiomonsalve,2025-03-03T22:22:38.448204
Maika,Isogawa,Co-Founder and CEO,Founder and CEO at Webacy | Forbes 30 Under 30 | Angel Investor | Former Cirque Du Soleil acrobat,Webacy,https://www.linkedin.com/in/maikaisogawa,2025-03-03T22:22:38.451610
Gianfranco,Filice,Partner,"Venture Investor at the ""Scary-Early"" Stage | Stanford",OVO Fund,https://www.linkedin.com/in/gfilice,2025-03-03T22:22:38.454795
Radhika,Ghai,Founder & CEO,Founder & CEO at kindlife.in I Co-Founder at ShopClues I Angel Investor,Kindlife.in,https://www.linkedin.com/in/radhikaghai,2025-03-03T22:22:38.458099
Shradha,Budhiraja,Software Engineering Manager,"Engineering Manager at Meta, Angel Investor.",Meta,https://www.linkedin.com/in/shradhab,2025-03-03T22:22:38.462527
Larry,Augustin,Managing Director,"Entrepreneur, angel investor, and advisor to technology companies.",Augustin Ventures,https://www.linkedin.com/in/larryaugustin,2025-03-03T22:22:38.465932
Augustin,Ku,Investor,Angel Investor,Investor,https://www.linkedin.com/in/augustinku,2025-03-03T22:22:38.469197
Max,Kilberg,Top skills,Investor @ Village Global,,https://www.linkedin.com/in/max-kilberg,2025-03-03T22:22:38.472809
Francisco,Serra-Martins,Founder and CEO,Co-founder at Terminal Autonomy | Chair at Dove Air 🕊️ Forbes 30 Under 30 | Angel investor,"Terminal Autonomy, formerly One Way Aerospace",https://www.linkedin.com/in/franciscoserramartins,2025-03-03T22:22:38.476009
Subha,Rajana,Venture Partner,"Impact Investor, Mentor and Advisor",,https://www.linkedin.com/in/subharajana,2025-03-03T22:22:38.479291
Magnus,Christerson,Alliance of Angels,Angel Investor,Mar 2023 - Present,https://www.linkedin.com/in/magnus-christerson,2025-03-03T22:22:38.482898
Nida,Ansari,Top skills,Founder | fCXO | Board Director | Impact Investor,karmic partners,https://www.linkedin.com/in/nidaansari,2025-03-03T22:22:38.486251
Joe,Golden,CEO/Founder,Entrepreneur and Angel Investor,,https://www.linkedin.com/in/joe-golden-8263865,2025-03-03T22:22:38.489739
Felix,H.,Angel Investor and Advisor,Angel Investor and Advisor,Oct 2018 - Aug 2020,https://www.linkedin.com/in/felixhuber,2025-03-03T22:22:38.493665
Rodrigo,Dantas,Board and Entrepreneur Advisor,Board Member e Investidor,Fundo Criatec 4,https://www.linkedin.com/in/rodrigodantas,2025-03-03T22:22:38.497084
Jonathan,L.,Managing Director/Founder,Serial Entrepreneur & Angel Investor,Qashio,https://www.linkedin.com/in/jhylau,2025-03-03T22:22:38.500431
Chino,Lex,Founder,2x Founder now in Texas Energy | Alum: Y Combinator & OnDeck,,https://www.linkedin.com/in/chinolex,2025-03-03T22:22:38.503765
Santhi,"Analytis, Ph.D.",Designer Fund,CTO￨Founder￨Hardware Startup Advisor￨Angel Investor,Dec 2023 - Present,https://www.linkedin.com/in/santhi-analytis,2025-03-03T22:22:38.507559
Jacalyn,Thompson-Champion,Board Member,Angel Investor,,https://www.linkedin.com/in/jacalyn-thompson-champion-a0024212,2025-03-03T22:22:38.515467
Vivek,Dixit,Top skills,"CEO | VC Operator | Board Member | Advisor | Investor | Fintech & Payments Executive | Gartner, Oracle & Cognizant Alum | 2x Author",CXO Advisory Services,https://www.linkedin.com/in/vivekdixit,2025-03-03T22:22:38.522516
Thurman,White,Senior Advisor to CEO,Board Member | Advisor | Angel Investor | Former CEO and Board Chairman,ESO Ventures,https://www.linkedin.com/in/thurman-white-b395aa1b,2025-03-03T22:22:38.525927
Alfonso,Rodrigo,Managing Partner,Angel Investor & Charitable Giver,,https://www.linkedin.com/in/alfonso-rodrigo-235ba0117,2025-03-03T22:22:38.529733
Zamir,"Shukho, MBA",Top skills,Venture Investor • Serial Entrepreneur • Expert in Corporate Innovations & Startups,Vibranium Venture Capital,https://www.linkedin.com/in/zamirshukho,2025-03-03T22:22:38.532996
Jesse,Kramer,Co-Founder,Angel Investor,,https://www.linkedin.com/in/jesse-kramer-6214052,2025-03-03T22:22:38.536982
Sam,Murrel,Product owner,Angel Investor,,https://www.linkedin.com/in/sam-murrel-46464911a,2025-03-03T22:22:38.540364
Keanu,C.,Managing Partner,Angel Investor | Venture Capitalist | Ed-Tech | HR-Tech | Fin-Tech,LGB Partners,https://www.linkedin.com/in/keanu-c-5a22a6199,2025-03-03T22:22:38.544036
Edik,Lipowski,Angel Investor,Angel Investor,,https://www.linkedin.com/in/edik-lipowski-366823124,2025-03-03T22:22:38.547799
Tricia,Herrick,Volunteer Consultant,"Volunteer, Board Member, Part Time Graduate Admissions",Stanford University,https://www.linkedin.com/in/tricia-herrick-26a72315,2025-03-03T22:22:38.551499
Eddy,Lee,Top skills,Corporate Venturing & Startup Investments,,https://www.linkedin.com/in/eddysmlee,2025-03-03T22:22:38.554788
Mason,Fielder LION,Angel Investor,Angel Investor,,https://www.linkedin.com/in/mason-fielder-lion-b46860103,2025-03-03T22:22:38.558347
Eric,Setton,Angel Investor,Angel Investor,Mar 2018 - Present,https://www.linkedin.com/in/ericsettton,2025-03-03T22:22:38.566052
Nicole,Liu,Founding Partner,Founding Partner @ Comma3 Ventures,Comma3 Ventures,https://www.linkedin.com/in/nicole-liu-a3b380135,2025-03-03T22:22:38.570237
Mark,C. Layton,Managing Member,"Entrepreneur, BoD Advisor, Angel Investor",,https://www.linkedin.com/in/platinumedge,2025-03-03T22:22:38.577888
Huey,Lin,Senior Advisor,Advisor | Angel Investor | Board Member,,https://www.linkedin.com/in/hueyrulin,2025-03-03T22:22:38.589734
Eric,Eldon,Angel Investor,angel investor,angel investor,https://www.linkedin.com/in/ericeldon,2025-03-03T22:22:38.592959
Ashraf,Kalim Ahmed,Founding Partner,Entrepreneur / Angel Investor / Brand Builder,Magnus Ventures,https://www.linkedin.com/in/ashrafkalimahmed,2025-03-03T22:22:38.596644
Jack,Herrick,Founder,Founder of wikiHow. Angel investor in 100+ companies and 10+ unicorns.,,https://www.linkedin.com/in/jackherrick,2025-03-03T22:22:38.600513
Farshad,Taheri,Early Stage Investor,Early stage Investor - Startup Helper - CEO at Arbor Home,,https://www.linkedin.com/in/farshad-taheri-79583573,2025-03-03T22:22:38.604413
Yvan,Goudard,Top skills,Growth & Communication Strategist for Startups | Board Advisory | Stakeholders Relations,Full-time,https://www.linkedin.com/in/yvancgoudard,2025-03-03T22:22:38.608212
Li,Wang,Founding Chief Data Officer,Startup | Advisor | Angel Investor,Turboprop,https://www.linkedin.com/in/liii-wang,2025-03-03T22:22:38.612735
Henry,Maximilian Walton,Angel Investor,Angel Investor,Mar 2014 - Jun 2017,https://www.linkedin.com/in/henry-maximilian-walton-14487a13b,2025-03-03T22:22:38.616039
Joel,Englander,"Senior Program Manager - Google for Startups, Google Gloud",Startup Advisor / Angel Investor,,https://www.linkedin.com/in/joelenglander,2025-03-03T22:22:38.619546
Neguine,Navab Christensen,Angel Investor,"Start-up Management, Software Development, Angel Investment",,https://www.linkedin.com/in/neguinechristensen,2025-03-03T22:22:38.623153
Robby,Guerrier,Amazon Web Services (AWS),GTM x Technology Partnership & Business Development @ Amazon Web Services (AWS) - Angel Investor,Alchemist Accelerator,https://www.linkedin.com/in/robbyguerrier,2025-03-03T22:22:38.626410
Andy,Garman,Managing Partner,Non-profit board member and angel investor,,https://www.linkedin.com/in/andygarman,2025-03-03T22:22:38.629912
Anthony,Rossi,AFL,CEO at Force One Capital • President of the AFL • Co-Founder at Cubed Biotech • Capital Markets Advisor • VC & Angel Investor,Feb 2023 - Present,https://www.linkedin.com/in/rossianthony,2025-03-03T22:22:38.633595
Damien,Fatrez,Investor,Entrepreneur & investor,,https://www.linkedin.com/in/damien-fatrez-bb7856,2025-03-03T22:22:38.641660
Rob,Robinson,President,"Professor, Private Equity and Angel Investor",,https://www.linkedin.com/in/hawaiivc,2025-03-03T22:22:38.645229
Sherman,Ting,Managing Member,"Angel Investor, Advisor, Board Member, CEO, Entrepreneur",,https://www.linkedin.com/in/shermanting,2025-03-03T22:22:38.648856
Michael,Westen,Angel Investor,"Angel Investor at Westen Investments, LLC",,https://www.linkedin.com/in/michaelwesten007,2025-03-03T22:22:38.652291
Alan,Fisher,Angel Investor,Angel Investor at Sand Hill Angels,,https://www.linkedin.com/in/fisheralan,2025-03-03T22:22:38.655938
Al,Sharif Nawaf Faiez Al Abdelhakim,Top skills,"CEO | Angel Investor in Energy, Smart Cities and Digitalization",,https://www.linkedin.com/in/al-sharif-nawaf-faiez-al-abdelhakim-43323583,2025-03-03T22:22:38.659560
Michael,Rodnick,Partner,"Angel Investor, Partner",,https://www.linkedin.com/in/rodnick,2025-03-03T22:22:38.663428
Biola,Alabi,General Partner,Venture Capital | Non-Executive Director |Angel Investor| Business Strategy Advisor|,acasia,https://www.linkedin.com/in/biola-alabi,2025-03-03T22:22:38.687814
Leon,Szeli,Investment Committee,Product @ Meta | Presize (acq. by Meta) Founding CEO | IC @ CDTM Venture Fund,Meta,https://www.linkedin.com/in/leonszeli,2025-03-03T22:22:38.690895
Jon,Saft,Angel Investor,Angel Investor,,https://www.linkedin.com/in/jon-saft-282b1916b,2025-03-03T22:22:38.694508
Melissa,C.,Growth Advisor,Head of Growth @ EvenUp | Growth Advisor | Angel Investor,EvenUp,https://www.linkedin.com/in/melissachuang,2025-03-03T22:22:38.697889
Cristina,Cordova,Chief Operating Officer,Chief Operating Officer at Linear,Linear,https://www.linkedin.com/in/cristinajcordova,2025-03-03T22:22:38.701377
Paolo,N.,"Angel, Pre-Seed & Seed Investor",Entrepreneur & Angel Investor | Ex-BCG | Stanford B.S.,wohnvoll AG,https://www.linkedin.com/in/nattenmueller,2025-03-03T22:22:38.707475
Ashok,Ranadive,Top skills,"CEO & Co-Founder @ CarbonMinus Entrepreneur & Investor | Indian Navy, Google, CasperLabs (Web 3) | Global Experience across sectors",CarbonMinus,https://www.linkedin.com/in/ashoksranadive,2025-03-03T22:22:38.712938
Nikolay,Laptev,AI Research Scientist,Angel investor,Meta,https://www.linkedin.com/in/nikolay-laptev-6616123,2025-03-03T22:22:38.716460
Leonel,Meneses,Event Planner,"Enthusiastic about people, technology and the universe. Looking for an Angel investor asap.",White Lion Door,https://www.linkedin.com/in/leonel-meneses-4700152b,2025-03-03T22:22:38.720080
