First Name,Last Name,Title,Description,Employer,Url,Timestamp
Neguine,Navab Christensen,Angel Investor,"Start-up Management, Software Development, Angel Investment",,https://www.linkedin.com/in/neguinechristensen,2025-03-03T23:57:24.666189
Robby,Guerrier,Amazon Web Services (AWS),GTM x Technology Partnership & Business Development @ Amazon Web Services (AWS) - Angel Investor,Alchemist Accelerator,https://www.linkedin.com/in/robbyguerrier,2025-03-03T23:57:24.672277
Andy,Garman,Managing Partner,Non-profit board member and angel investor,,https://www.linkedin.com/in/andygarman,2025-03-03T23:57:24.679310
Anthony,Rossi,AFL,CEO at Force One Capital • President of the AFL • Co-Founder at Cubed Biotech • Capital Markets Advisor • VC & Angel Investor,Feb 2023 - Present,https://www.linkedin.com/in/rossianthony,2025-03-03T23:57:24.685412
Damien,Fatrez,Investor,Entrepreneur & investor,,https://www.linkedin.com/in/damien-fatrez-bb7856,2025-03-03T23:57:24.699073
Rob,Robinson,President,"Professor, Private Equity and Angel Investor",,https://www.linkedin.com/in/hawaiivc,2025-03-03T23:57:24.705671
Sherman,Ting,Managing Member,"Angel Investor, Advisor, Board Member, CEO, Entrepreneur",,https://www.linkedin.com/in/shermanting,2025-03-03T23:57:24.712806
Michael,Westen,Angel Investor,"Angel Investor at Westen Investments, LLC",,https://www.linkedin.com/in/michaelwesten007,2025-03-03T23:57:24.719906
Alan,Fisher,Angel Investor,Angel Investor at Sand Hill Angels,,https://www.linkedin.com/in/fisheralan,2025-03-03T23:57:24.725458
Al,Sharif Nawaf Faiez Al Abdelhakim,Top skills,"CEO | Angel Investor in Energy, Smart Cities and Digitalization",,https://www.linkedin.com/in/al-sharif-nawaf-faiez-al-abdelhakim-43323583,2025-03-03T23:57:24.731481
Michael,Rodnick,Partner,"Angel Investor, Partner",,https://www.linkedin.com/in/rodnick,2025-03-03T23:57:24.737860
